ticket	name	industry	price
BPI	Bridgepoint Education, Inc.	Other Consumer Services	$38.95
DSW	DSW Inc.	Clothing/Shoe/Accessory Stores	$13.54
CRM	Salesforce.com Inc	Computer Software: Prepackaged Software	$38.64
VOD	Vodafone Group Plc	Telecommunications Equipment	$29.55
AEH	Aegon NV	Life Insurance	$28.31
GLDI	X-Links Gold Shares Covered Call ETN	Investment Bankers/Brokers/Service	$25.17
MELR	Melrose Bancorp, Inc.	Major Banks	$33.75
CINR	Ciner Resources LP	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	$25.31
XENT	Intersect ENT, Inc.	Medical/Dental Instruments	$26.12
MIIIW	M III Acquisition Corp.	Business Services	$13.85
IOSP	Innospec Inc.	Major Chemicals	$22.30
ACN	Accenture plc	Business Services	$13.93
BBP	BioShares Biotechnology Products Fund	n/a	$42.77
WF	Woori Bank	Commercial Banks	$30.72
CLRBZ	Cellectar Biosciences, Inc.	Major Pharmaceuticals	$46.00
HPE	Hewlett Packard Enterprise Company	Computer Manufacturing	$14.07
DNBF	DNB Financial Corp	Major Banks	$17.71
MSGN	MSG Networks Inc.	Television Services	$29.45
MMT	MFS Multimarket Income Trust	n/a	$29.02
RPAI	Retail Properties of America, Inc.	Real Estate Investment Trusts	$33.99
COO	Cooper Companies, Inc. (The)	Ophthalmic Goods	$49.53
AI^B	Arlington Asset Investment Corp	n/a	$27.75
HNNA	Hennessy Advisors, Inc.	Investment Managers	$47.43
ARII	American Railcar Industries, Inc.	Railroads	$20.61
MTL	Mechel PAO	Steel/Iron Ore	$43.38
NAII	Natural Alternatives International, Inc.	Specialty Chemicals	$14.18
HES^A	Hess Corporation	n/a	$17.72
AEIS	Advanced Energy Industries, Inc.	Industrial Machinery/Components	$42.15
GTLS	Chart Industries, Inc.	Metal Fabrications	$29.78
ABAX	ABAXIS, Inc.	Industrial Machinery/Components	$42.89
LOGI	Logitech International S.A.	Computer peripheral equipment	$20.76
RNDB	Randolph Bancorp, Inc.	Major Banks	$40.23
ONVO	Organovo Holdings, Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$36.47
CAPL	CrossAmerica Partners LP	Oil Refining/Marketing	$37.54
KCAP	KCAP Financial, Inc.	n/a	$41.14
TMHC	Taylor Morrison Home Corporation	Homebuilding	$33.13
PKY	Parkway, Inc.	n/a	$16.45
TUSK	Mammoth Energy Services, Inc.	Oilfield Services/Equipment	$40.17
MGP	MGM Growth Properties LLC	Real Estate Investment Trusts	$38.93
JBR	Select Asset Inc.	Finance: Consumer Services	$39.58
GTIM	Good Times Restaurants Inc.	Restaurants	$42.41
TSLX	TPG Specialty Lending, Inc.	n/a	$16.43
EVG	Eaton Vance Short Diversified Income Fund	n/a	$49.40
FNK	First Trust Mid Cap Value AlphaDEX Fund	n/a	$43.23
CLVS	Clovis Oncology, Inc.	Major Pharmaceuticals	$12.19
HTLD	Heartland Express, Inc.	Trucking Freight/Courier Services	$32.50
PBFX	PBF Logistics LP	Natural Gas Distribution	$30.11
BXC	BlueLinx Holdings Inc.	Wholesale Distributors	$48.39
CYOU	Changyou.com Limited	Computer Software: Prepackaged Software	$10.76
