make	model	year	vin
Lexus	LX	2010	4T3BA3BB8CU505032
Dodge	Ram Van B350	1994	5N1CR2MNXEC243935
Volkswagen	Type 2	1986	WAUDF48H17K529096
Buick	Lucerne	2011	1FTNX2A57AE582302
Isuzu	Axiom	2004	WBA3A5C53EP267014
GMC	3500 Club Coupe	1995	WBAEK73435B009775
Jaguar	XF	2012	WBAFR7C50CC926771
Toyota	Tacoma	2010	JTEBU5JR2C5510537
BMW	X6 M	2013	1D7RB1CT9BS271133
Pontiac	GTO	1964	WAUJFAFH5DN416041
Volkswagen	CC	2013	1C3CCBAG9EN215371
Ford	LTD Crown Victoria	1993	WBXPA93424W053318
Ford	Aerostar	1994	1FMEU6FE6AU161181
Volvo	S60	2001	WAUSF78E27A949809
Mitsubishi	Eclipse	1991	1FTEW1C80AK681226
Volkswagen	Touareg	2004	1B3CB5HA6AD986681
Volvo	S80	2002	WBAYA8C58FG901796
Acura	RL	2008	19UUA66268A236346
Porsche	928	1986	2T1BURHE2FC730993
Buick	Somerset	1987	WAUCKAFR5AA102258
Volkswagen	Touareg	2010	WAUKF98P49A574439
Chevrolet	Express	2006	JH4KB163X7C282844
Dodge	Charger	2011	WBAHL83566D244296
Toyota	Matrix	2012	2C3CCAEG0FH601353
Chevrolet	2500	2000	WAUBF48H37K132190
Jaguar	XK Series	2005	19UUA9F25BA671349
Hummer	H3	2006	1FMEU6EE2AU658326
Lincoln	MKT	2010	1GT022CG3EF969732
Mitsubishi	Galant	1997	WBAUC73528V077781
Lotus	Exige	2006	2T2BK1BA6EC560905
Suzuki	Sidekick	1993	3C3CFFAR1DT265678
Mercury	Cougar	1993	3C63D3JL5CG653202
Dodge	Ram Wagon B350	1994	3VWKP7AJ8DM315908
Chevrolet	G-Series G20	1992	1D4RE5GG2BC413258
BMW	M3	2009	5N1AN0NUXFN200196
BMW	X5	2004	WAUUL78E75A789974
Ford	E-Series	1996	WP1AE2A27CL645373
Mazda	Mazda6	2007	WBAYP9C58ED417275
Mazda	Tribute	2005	19UUA9F76CA390478
Lotus	Elise	2007	1G6DJ5EG7A0576643
Dodge	Dakota	2002	WBA3A9C5XFK249518
Volkswagen	Quantum	1984	WBANV13548C686202
Lexus	RX	2001	KM8JT3AB2DU052530
Pontiac	Turbo Firefly	1990	5NPDH4AE1CH808652
Land Rover	Freelander	2010	4T1BD1EB7EU689348
Acura	NSX	2002	1FTNF2B54AE400508
Mercedes-Benz	SL-Class	2002	WBA3B9G54FN126853
Cadillac	Escalade	2004	2T1BU4EEXCC690200
Toyota	Camry Solara	2008	3GYFNFE36FS186821
Chevrolet	Suburban	2011	JM1BL1L34C1776027
Chevrolet	Tahoe	2005	JH4CU2F89EC612762
Mazda	Miata MX-5	1997	SCFEBBAK8BG742900
Mitsubishi	Galant	2008	1G6KD54Y83U370882
Ram	Dakota	2011	WAUDFAFC9CN457109
Isuzu	Hombre Space	2000	WBALL5C59CE438691
Ford	Mustang	2008	KMHTC6AD3CU048285
GMC	Sierra 1500	2012	WBAKE3C51CE381350
Ford	Laser	1987	WBA3V7C56EP754403
Ford	Transit Connect	2011	2G4WY55J321215067
Land Rover	Range Rover	1988	JH4KB16307C350620
Suzuki	Daewoo Lacetti	2008	WAUCFAFHXAN698858
Nissan	Altima	1999	WAULD64B22N988627
Mazda	B-Series Plus	2002	WBAAV33451E037083
Acura	RL	2012	SCBLC47J08C492083
Porsche	911	2003	SCBZK25E33C517932
Mazda	Mazda6 5-Door	2006	3D73M4EL3BG729349
Plymouth	Sundance	1992	WAUKD78P36A116722
Ford	Galaxie	1966	1G6AD5S30D0818334
Honda	Accord Crosstour	2010	WBANE73567C587303
Jaguar	XJ	2011	19UUA65685A863713
Pontiac	Grand Prix Turbo	1990	JM1DE1KY1D0634466
BMW	7 Series	1999	1G6AK5S38D0530079
Mitsubishi	Galant	1990	4USBT53404L716715
Mercedes-Benz	M-Class	1999	JTDBT4K30A1572115
Kia	Rio	2006	1G6KD5EY2AU935087
Pontiac	Sunfire	2003	JTJBJRBZ4F2757709
Jeep	Grand Cherokee	1993	JM1CR2W33A0339532
Cadillac	DeVille	2005	SCBZK22E92C403503
Mazda	B-Series Plus	1993	WUARL48H16K800774
BMW	X6	2008	1G4GA5EC9AF238807
Subaru	Legacy	2001	1G6DG8E50C0311032
Mitsubishi	Lancer Evolution	2011	3GYFNGE3XFS676765
Saturn	L-Series	2002	1G6AK5S31D0961895
Ford	Mustang	1992	WAUAC68D21A322914
Chevrolet	Tracker	2004	1D7RW2BK8AS526825
Ford	Ranger	1998	WVWED7AJ7AW527039
Hyundai	Accent	2006	3D73M4HL8BG089716
GMC	Yukon	2011	1G4HP57228U422564
Nissan	Pathfinder	1992	WVGDP9BP5ED846373
Nissan	JUKE	2011	WBAFZ9C56CC482002
Toyota	Tacoma Xtra	2002	WBAGK934X1D521326
Hyundai	Veracruz	2012	WAUSF98E76A892811
GMC	Sierra 3500	2007	3D7TT2CT1BG430341
Ford	Escort	2001	1VWAH7A34EC077892
Toyota	Camry	1993	2B3CM5CT4BH888403
Dodge	Stealth	1995	WAUCFAFRXDA069587
Subaru	Alcyone SVX	1992	19UUA9F5XCA198981
Mercedes-Benz	SLK-Class	2006	WBAAX13413P486301
Aston Martin	Vanquish S	2006	1GYS3EEJ4BR425972
Toyota	Paseo	1992	JTDKN3DUXF0779781
Ford	E-Series	2011	1N6AA0EC4EN595513
Toyota	Camry Hybrid	2012	19UUA65656A550099
Ford	F350	2002	WAUSF78E68A864781
Mercury	Grand Marquis	1992	WDDHH8JB0FB382513
Pontiac	GTO	1964	1FMJK1H50DE127837
Infiniti	G35	2007	1GD02ZCG9CZ229330
Toyota	Previa	1996	WBASN0C53DD693286
Ford	Thunderbird	2002	YV140MEBXF1067656
Pontiac	Torrent	2007	WBAYM1C50ED727527
Buick	LeSabre	1996	1FMCU0C76AK349494
Buick	Park Avenue	2001	1G6DN57PX90943337
MINI	Clubman	2012	1HGCP2E34CA379768
Buick	Riviera	1997	1C3CCBHG4CN491508
GMC	Sierra 3500	2003	JTDJTUD38DD848312
Ford	F350	2000	2T1BURHE7FC076640
BMW	5 Series	1993	3MZBM1K76FM612509
GMC	Yukon XL 2500	2003	KNADM5A37D6362774
Mitsubishi	Pajero	2001	WVWAB7AJ5DW930428
Buick	LeSabre	2005	4T1BB3EK3BU797138
Honda	Civic	2005	WAU4GAFB8AN934825
Mitsubishi	Diamante	1998	WBSKG9C58BE814878
Mercedes-Benz	SLK-Class	1999	WAUVT68EX5A712885
Chevrolet	Cobalt SS	2007	3C63DPHL1CG873921
Acura	TL	1995	JH4CL95888C521631
Ford	Festiva	1990	1GTN1TEH9FZ966242
GMC	Savana 3500	2011	5N1AT2MK9FC649964
Mercury	Capri	1992	WA1VMBFP9EA634557
Dodge	Dakota Club	1998	WA19FAFL9DA401697
Toyota	RAV4	2005	5N1AA0NC8FN499576
Jeep	Liberty	2003	WVGEF9BP9ED703868
