customer id	balance
22	$30.48
32	$273.91
2	$430.85
21	$915.11
15	$433.99
39	$970.97
22	$520.95
25	$301.59
1	$746.46
24	$304.00
10	$149.61
45	$64.68
43	$12.48
46	$773.49
16	$983.73
32	$420.56
16	$416.36
43	$357.48
44	$844.57
45	$111.10
45	$438.46
38	$759.91
28	$159.60
29	$814.93
12	$304.23
25	$527.87
33	$11.46
35	$557.14
18	$955.41
2	$516.44
37	$610.81
28	$818.87
17	$72.89
40	$101.00
25	$211.01
32	$100.41
19	$108.51
11	$918.82
27	$169.48
2	$584.25
11	$942.26
6	$347.11
30	$511.72
25	$853.39
10	$94.98
15	$977.16
49	$617.50
14	$197.37
43	$152.95
9	$720.25
28	$655.60
16	$855.08
14	$801.20
9	$475.34
1	$312.66
4	$866.58
46	$975.60
45	$547.16
26	$480.65
24	$333.98
29	$326.43
12	$681.54
37	$191.06
37	$989.33
22	$207.58
45	$269.64
31	$47.36
18	$510.42
18	$868.01
36	$573.50
38	$180.63
43	$66.02
22	$165.49
31	$456.09
22	$604.17
1	$960.11
35	$432.34
38	$981.11
35	$323.70
6	$327.67
49	$222.03
1	$447.16
12	$237.34
18	$490.13
1	$937.79
50	$524.76
39	$251.09
26	$842.83
27	$904.57
22	$303.32
6	$628.80
10	$623.53
23	$928.83
32	$259.80
48	$314.93
24	$766.27
23	$980.05
36	$488.31
23	$283.89
10	$985.13
3	$471.09
3	$663.49
20	$285.10
34	$845.17
43	$512.71
2	$95.74
28	$440.22
22	$346.97
33	$835.14
25	$837.43
29	$289.18
38	$131.68
49	$632.34
12	$194.46
33	$766.32
44	$640.12
36	$22.48
25	$586.03
29	$256.56
2	$590.98
6	$830.31
48	$696.87
32	$756.98
11	$70.42
41	$488.06
45	$123.60
8	$291.70
8	$910.38
33	$874.74
32	$402.21
31	$572.44
27	$773.06
50	$424.68
7	$712.72
18	$931.76
33	$361.33
41	$98.93
35	$189.76
18	$537.57
13	$339.34
29	$252.03
8	$805.29
48	$295.36
15	$795.58
14	$504.79
43	$49.88
30	$257.32
4	$116.83
42	$245.50
18	$645.59
14	$314.59
41	$642.81
14	$986.57
15	$648.67
37	$543.80
42	$70.84
32	$164.63
11	$264.31
35	$995.30
8	$50.80
32	$296.83
18	$726.19
35	$723.24
46	$557.27
